datetime,open,high,low,close,tick_volume
2025-11-17 05:00:00,4070.0,4070.917837046354,4069.201693125282,4069.939873438006,16.166666666666664
2025-11-17 05:15:00,4069.939873438006,4070.881536727028,4069.3560091719646,4070.073306354408,16.166666666666664
2025-11-17 05:30:00,4070.073306354408,4070.9382804602474,4069.2738733402243,4070.145786417716,16.166666666666664
2025-11-17 05:45:00,4070.145786417716,4071.0743366897495,4069.4161482828345,4070.1920384990426,16.166666666666664
2025-11-17 06:00:00,4070.1920384990426,4071.208675157985,4069.611626276257,4070.3667048170246,16.166666666666664
2025-11-17 06:15:00,4070.3667048170246,4071.021366919305,4069.2701424939405,4070.475787474421,16.166666666666664
2025-11-17 06:30:00,4070.475787474421,4071.2449378674787,4069.900343594322,4070.5263130530757,16.166666666666664
2025-11-17 06:45:00,4070.5263130530757,4071.2830856903934,4069.959168798348,4070.5699876533163,16.166666666666664
2025-11-17 07:00:00,4070.5699876533163,4071.1984541966367,4069.9054987787936,4070.7378586095474,16.166666666666664
2025-11-17 07:15:00,4070.7378586095474,4071.4029761379625,4069.8057238168835,4070.8306657505746,16.166666666666664
2025-11-17 07:30:00,4070.8306657505746,4072.046073943635,4070.1392025822465,4071.001553264636,16.166666666666664
2025-11-17 07:45:00,4071.001553264636,4071.7023538339845,4069.6796248835612,4070.9452289162155,16.166666666666664
2025-11-17 08:00:00,4070.9452289162155,4071.540144983429,4070.094669184564,4070.928378822454,16.166666666666664
2025-11-17 08:15:00,4070.928378822454,4072.0177389191736,4069.820828853835,4070.9004245863625,16.166666666666664
2025-11-17 08:30:00,4070.9004245863625,4072.157945937464,4069.800421436935,4070.7101050310494,16.166666666666664
2025-11-17 08:45:00,4070.7101050310494,4071.208611294351,4069.830604098543,4070.6553964257114,16.166666666666664
2025-11-17 09:00:00,4070.6553964257114,4071.3531463051145,4069.8287476020537,4070.6637615415043,16.166666666666664
2025-11-17 09:15:00,4070.6637615415043,4071.7020021557596,4070.0697623038245,4070.8365651083413,16.166666666666664
2025-11-17 09:30:00,4070.8365651083413,4071.8901528859774,4070.3590583472114,4070.8885871878265,16.166666666666664
2025-11-17 09:45:00,4070.8885871878265,4072.038663837379,4070.3494300846055,4070.88057840854,16.166666666666664
2025-11-17 10:00:00,4070.88057840854,4071.9310723059452,4069.89989648004,4070.8916090974003,16.166666666666664
2025-11-17 10:15:00,4070.8916090974003,4071.787406931369,4070.224720050316,4071.0306091165266,16.166666666666664
2025-11-17 10:30:00,4071.0306091165266,4071.5950066822775,4069.9888265677814,4071.0121131341866,16.166666666666664
2025-11-17 10:45:00,4071.0121131341866,4071.877045383312,4070.2094479492525,4070.8814282364924,16.166666666666664
2025-11-17 11:00:00,4070.8814282364924,4071.6958005677725,4070.279731345243,4071.107403906667,16.166666666666664
2025-11-17 11:15:00,4071.107403906667,4071.9699638881143,4070.3179451207743,4071.090530246096,16.166666666666664
2025-11-17 11:30:00,4071.090530246096,4071.794860553866,4069.9389204741888,4070.9847180053075,16.166666666666664
